id	importance
#q2:types	numeric
Glucose-6-phosphate	0.206209100986269
Homovanillic-acid	0.122820602330864
Succinate-Methylmalonate	0.0816560285449715
Kynurenic-acid	0.0563091341212902
Tryptophan	0.0420770461442761
Thymine	0.0346454695845924
Serine	0.0301801391425903
Lysine	0.0274749205155597
Orotate	0.0258790519451814
N-Acetylglucosamine	0.0241248443634919
Creatinine	0.0216127455023493
Homoserine-Threonine	0.0216112853917703
Phenylpyruvate	0.0212904366525778
Malate	0.019941881608383
1-Methyladenosine	0.0184665055964871
Taurine	0.0176408908663194
Cysteate	0.0175488384656139
Leucine-Isoleucine	0.0169376396251041
Uric-acid	0.0158164470651722
Uracil	0.015796055659465
Hydroxyisocaproic-acid	0.0150622682721107
Tyrosine	0.0135208906536109
Ornithine	0.0122835251421096
3-Methylthiopropionate	0.0120303681358831
Glutamine	0.012006311238087
Hypoxanthine	0.0118558375741546
N-Acetylglutamate	0.011846418316249
Citrulline	0.0114570666724976
N-Acetylornithine	0.0112236345521629
Guanosine	0.0109458755315661
Phenylalanine	0.0103087455445796
Valine	0.010047843094934
Hydroxyproline	0.0098021952087309
Proline	0.0095699559509945
